-772-977359-771169-993-115-771-571369-265-66753146563801325948990-499633773-816377537-79-540-939307-533-457925796420566-76252-100489704-345-79406-95-662-72354577858166-893-55952572-712-690874948134207-608266-45-23-137-20737384918565-368-66052119260-37864-935730141-837-740-772-36180117930-164337-897105-632126958700-254684-98757396386711-543-727-492-631800-481-758260699-645-529209-993-349211-97144-391630915-22371566-610129453434-22467707515842270102-289-882795198658209-96981196-594192-605478-84832223-448171-423788882-4656840948881410-600-57788789986345-686-53965-521-55-468466-354-743-134-619884519-162-116941734130669385732-636-417852-356-773585-340692-583-55-872-977157-686-18367253-628-400273-364-633710575-22566571-83587-54-56250695344559775416731270-217-389764818-223518-682-838-708-374-636-952-452638-54125547-476-659244-342-975-623971200-280-528-672-831707-684196745-390411-869551-33787-33463-354-14826775-272561-121-123-76676640448-386947-689-163-285-565-79650-807-80-753802190-262-931-24994-169454166-519101-614978-552-894-621999-252194-98-610499251-74191-553-312-389-212622848596261-9543-381116624-969122-879797-125-438306-652935-99812799-156-761-585-831619-639-908950-108295-331-741931855171-3-11675543-234455-528920-81163680-648-375159-830949960307329736100011872-753-130307665191-878-11753-299855-622-103-849-618993787-985382-345629-631457-297-508-879676130-551790973-398566359-137-72845883896119675-173-332124977-11-9059446-818-525-250-887-52-876-88622-246788-19934481523-69-77828528219601-82338-151-364543143-159-283-571-705-385-815-833-985131-316-416-163-482858410-889-613-404866-672848102973654-390-80781837-122838-637301-882252124-796502714-920-889-51533366640-908-169-784-86-222-683-714-605-22394-148570502-702-88892-727233-733547347-506882-516556-253-698647-953-83626-75751811-781-539-285189760127-767505-2611796796075139706-32-812-355-71854-754-533-890284-826833-893638-324480-636556-150731903950-655-698-8-763700-140-95275083138-305456269688-136-677427-475208421121450-738134987565280-754554-343790601170-111-849-844-129626403-980-155465-944311-741536-743-954254-942352-628419-51427269721792111173299-435-313202-991-849-184-213-635239-799860991-697-724751-887-4619208836196932-594897-928-357217520210-14-827671645953-58648616706-569-652-852-227-325786-33258274850-577432-479803-620509845-746554515155-307442-737-368-953-166-65-113-124842386229159279693-706-48490358638-861704-710122-72910436782499527196832449510-934336-842-403526325638-619-329364398321-571395636-49636557368318-161-507-177522-332261-1613731000177733302-51384-775553105-769-717598-334-20543732688-38-419155556-92276642891305930-422-372-874-865-365-801-105633-802-679499345967-274555749472-436-421832-264-921-517178113910-142-2708306314-931-330-27-690-390840-856-564-422965-70-457519509-443916278-59746366751439-790689-316-621-383937-250767-230-6724851885931-69-555-633-707400-320103810376501476196863392-593-446-62273-617960395-527-839278-349371-725-17727-887-641624-67365-852-330-717-973983-572988462722441-788-348-202-64184985980-222511-24-666587-2539351873750297203219169-19184596-223-827204371671849578963-58632751329568587-618270-476570936-819590-447912-458-700607812-827-27408483-50-70248138935247-782-54544-871149-781206641308-215-275534871-185918-943-349-580731976-977997-398-200-180-542-401710416-974-171-588759-389501485-79-30-662-397921373-41592489112430514530298,-602,785,56,-65,-280,-770,53,-524,721
596,483,-853,712,-234,-366,-918,630,-329,960
-339,351,-49,-97,-919,-211,-530,-214,53,-675
-476,332,12,416,-522,694,-391,-362,835,-928
-514,644,-511,-457,541,923,598,-753,-858,662
853,812,647,-110,-745,-63,-302,20,-348,129
-317,-438,48,466,710,542,517,-287,544,-519
26,-858,-442,-918,-660,577,-975,-793,-935,-628
785,-143,715,-183,977,-78,-425,-618,695,893
-934,364,-800,-338,61,309,940,67,-821,999
-620,722,-50,-780,-621,-100,-353,-757,-338,-891
599,26,-878,696,-244,-933,348,368,289,-337
-976,457,-553,31,-488,756,874,332,-808,-873
567,634,-595,-784,-229,-701,-886,109,889,-288
30,482,-980,-165,-63,699,-11,-838,981,493
-764,-145,344,449,806,-116,443,-354,-611,-833
238,-126,942,808,599,124,416,-994,318,-54
814,318,-390,1,-210,808,767,520,-643,-595
-456,-537,31,708,729,328,-80,704,727,-426
684,-448,594,455,-120,-371,835,483,-233,42
501,-249,497,502,946,213,376,745,-459,289
919,-203,-826,-891,-595,-959,218,-541,361,-324
-91,335,-297,138,859,513,736,580,-925,847
236,703,933,-858,717,-96,556,698,-264,-853
